City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
274,Vardo,70.37,31.11,44.6,75,75,8.05,NO,broken clouds
275,Kathu,7.92,98.33,81.0,94,90,4.7,TH,overcast clouds
276,Narsaq,60.92,-46.05,39.2,80,75,3.36,GL,light rain
277,Bariadi,-2.8,33.98,84.78,24,71,4.99,TZ,broken clouds
278,Dingle,11.0,122.67,78.15,88,100,2.46,PH,light rain
279,Nueve De Julio,-35.44,-60.88,60.01,44,0,3.0,AR,clear sky
280,Yarmouth,41.71,-70.23,71.01,82,90,6.93,US,overcast clouds
281,Monrovia,6.3,-10.8,82.4,83,75,10.29,LR,thunderstorm
282,Killybegs,54.63,-8.45,53.6,76,75,13.87,IE,broken clouds
283,Isangel,-19.55,169.27,68.0,88,90,6.93,VU,overcast clouds
284,Dawei,14.08,98.2,78.4,87,100,2.15,MM,light rain
285,Hammerfest,70.66,23.68,51.8,76,20,24.16,NO,few clouds
286,Basco,20.45,121.97,82.26,75,16,12.95,PH,few clouds
287,Nelson Bay,-32.72,152.15,59.0,93,0,1.12,AU,clear sky
288,Flinders,-34.58,150.86,61.0,52,0,5.14,AU,clear sky
289,Tokur,53.13,132.9,38.07,85,100,3.6,RU,overcast clouds
290,Comodoro Rivadavia,-45.87,-67.5,42.8,35,20,8.05,AR,few clouds
291,Valleyview,55.07,-117.29,51.58,75,4,2.55,CA,clear sky
292,Souillac,-20.52,57.52,73.4,78,20,3.71,MU,few clouds
293,Geraldton,-28.77,114.6,55.4,82,75,13.87,AU,broken clouds
294,Port Blair,11.67,92.75,81.84,83,93,12.62,IN,overcast clouds
295,Rouvroy,50.39,2.9,57.99,93,90,5.82,FR,overcast clouds
296,New Norfolk,-42.78,147.06,55.4,71,40,11.41,AU,light rain
297,Nichinan,31.6,131.37,69.8,76,33,2.17,JP,scattered clouds
298,Fuerte Olimpo,-21.04,-57.87,109.11,16,0,7.63,PY,clear sky
299,Santa Marinella,42.03,11.85,71.6,64,40,16.11,IT,scattered clouds
300,Padang,-0.95,100.35,76.77,85,100,4.68,ID,moderate rain
301,Uruzgan,32.83,66.0,52.11,39,0,2.19,AF,clear sky
302,Kaitangata,-46.28,169.85,46.35,82,28,7.14,NZ,scattered clouds
303,Barrow,71.29,-156.79,33.8,86,90,10.29,US,mist
304,Leningradskiy,69.38,178.42,33.78,91,100,14.65,RU,overcast clouds
305,Vostok,46.49,135.88,43.83,100,100,2.68,RU,light rain
306,Lavrentiya,65.58,-171.0,41.76,91,99,9.08,RU,overcast clouds
307,Samarai,-10.62,150.67,77.95,87,100,21.5,PG,moderate rain
308,Urumqi,43.8,87.6,50.0,39,0,4.47,CN,clear sky
309,Naze,28.37,129.48,78.8,69,75,8.05,JP,broken clouds
