City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name,Hotel Location Code
542,Zafarwal,PK,78.8,clear sky,32.35,74.9,Jaafri Chowk,ChIJl4N6hiGmHjkRtMB5KIb1xhY
546,Kapoeta,SS,85.01,scattered clouds,4.77,33.59,Eastgate Hotel,ChIJ734jPu4JCxcRz1_zl5vnVvM
547,Akyab,MM,82.6,light rain,20.15,92.9,Hotel Memory,ChIJ9enFIKBPsDARt4wKQhYUYvI
548,Mallapuram,IN,76.46,broken clouds,11.97,78.25,Manivel N,ChIJd_fQHKkNrDsRipVPt0jgTkY
551,Sassandra,CI,79.56,overcast clouds,4.95,-6.08,la terrasse,ChIJRdr_fKf0lQ8RpFsAZt5KOyE
555,Miri,MY,80.01,scattered clouds,4.41,114.01,"Mega Hotel, Miri",ChIJLWIUtTJPHzIRpUQl6Sqj2K4
556,Constantine,DZ,84.2,broken clouds,36.37,6.61,Grand Hotel Cirta,ChIJ2RwD6xd38RIR-sP8xtJROcA
558,Bismil,TR,78.8,clear sky,37.85,40.67,Dostlar Otomotiv,ChIJUyegpbUsC0AR6ubUhZxHqLc
559,Nabire,ID,77.36,moderate rain,-3.37,135.48,Hotel Nusantara Nabire,ChIJxbd8CmmiH2gRANoEA2lcLhY
560,Porbandar,IN,82.15,broken clouds,21.64,69.61,Lords Inn Porbandar,ChIJbyk_zkI0VjkRoPjmK6QVSek
562,San Jose,US,75.0,smoke,37.34,-121.89,The Westin San Jose,ChIJqZitiLrMj4ARGTbRPXeLFgE
563,Key West,US,84.2,overcast clouds,24.56,-81.78,Fairfield Inn & Suites by Marriott Key West,ChIJgaK-8Uqx0YgRvpGGYoOrsBE
569,Nyaunglebin,MM,76.95,light rain,17.95,96.73,Royal Motel,ChIJYam6hJQKxDARRMKo7zm7hD8
575,Turbat,PK,89.94,clear sky,26.0,63.04,Mubashar Quarters,ChIJv6BZawNZxz4Rp3MPj4fH7u8
576,Bintulu,MY,77.0,scattered clouds,3.17,113.03,900 Boutique INN,ChIJYfyCtq_BHTIRzI4jRJ22DPs
578,Oranjestad,AW,84.2,broken clouds,12.52,-70.03,Divi Village Golf & Beach Resort,ChIJARRAB4ZHhY4RqD2cHvGyLUE
579,Resistencia,AR,81.0,overcast clouds,-27.46,-58.98,Niyat Urban Hotel,ChIJTTobE_QMRZQR4ZfCQJdnHqY
581,Nang Rong,TH,78.3,light rain,14.64,102.79,Phanomrungpuri Boutique Hotels & Resorts,ChIJTYgZDibVGzERz3QTCcHaRzQ
583,Maragogi,BR,81.01,overcast clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort,ChIJd5jsrdNjAAcRQcXS1xYM7Q0
599,Chato,TZ,75.61,few clouds,-2.64,31.77,Marine Hotel,ChIJnYxmq8Z5zxkRSMxukABNtrg
601,Cururupu,BR,86.13,light rain,-1.83,-44.87,Pousada Través'cia,ChIJwWVJgGD69wcRUpII5dPtt_M
606,Bathsheba,BB,87.8,few clouds,13.22,-59.52,Atlantis Hotel,ChIJ6TWdg3btQ4wR3JjvFJyPke8
612,Aquiraz,BR,89.6,broken clouds,-3.9,-38.39,Hotel Laguna Blu,ChIJZ0gMY9hdxwcRNbSunpqixC0
616,Varanasi,IN,82.4,haze,25.33,83.0,Alka Hotel,ChIJpaSAzB8ujjkRnuzUeffLelo
617,Belen,TR,78.8,few clouds,36.49,36.22,Varlıbaş Uyku Sarayı,ChIJ-ce6lXn1JRURaBSW8dk149o
621,Manzil Kamil,TN,84.99,clear sky,35.62,10.67,Boukarra Ali,ChIJFbQzl6AJAhMRz9yKPmJVvNk
625,Maliig,PH,83.82,overcast clouds,13.85,120.15,Michelle's Lodging House,ChIJhwXFs9R5vjMRm_MK2RPTXpE
630,Camara De Lobos,PT,75.2,few clouds,32.63,-16.97,Golden Residence Hotel,ChIJQTNcTI9fYAwRFZ0_yhpNnKE
632,Pili,PH,76.37,overcast clouds,13.58,123.3,Moraville Drive-In Hotel,ChIJkdaFmyKSoTMR0MJOfLG6k9w
633,Guilin,CN,77.0,light intensity shower rain,25.28,110.29,Grand 0773 Hotel,ChIJtbk0w8_1pDYRb7nwwFc0spA
634,Teonthar,IN,81.09,clear sky,24.98,81.65,अमरजीत त्रिपाठी सदन,ChIJvUF1qWoZhTkR46_hcdA5QKA
636,Borujerd,IR,75.2,few clouds,33.9,48.75,Zagros International Hotel,ChIJ_c2CT9Ep7D8RivBNx01SFFs
638,Matara,LK,79.56,scattered clouds,5.95,80.54,Amaloh Boutique Resort,ChIJ0ec2etk-4ToROAXqPOJs5qc
641,Batticaloa,LK,82.8,overcast clouds,7.71,81.69,Grand Star Guest House,ChIJixPwMGfN-joRG2lhkQmmJC0
645,Praia,CV,87.8,broken clouds,14.92,-23.51,LT Aparthotel,ChIJ7_obsViYNQkR0m9z7BAxTi4
646,Koungou,YT,80.6,overcast clouds,-12.73,45.2,Villa Netibor,ChIJDYvBKrJsCiIRBkO6rKoDVtw
647,Mamallapuram,IN,86.0,mist,12.63,80.17,Radisson Blu Resort Temple Bay Mamallapuram,ChIJW6thUa2sUzoRS5OELJJ0p6g
648,Yenagoa,NG,78.22,moderate rain,4.92,6.26,Amba Hotels Limited,ChIJJQmgKqYBahARYFNiMMtn-Mg
651,Santa Rosa,PH,82.0,overcast clouds,14.31,121.11,Erlyn’s Sta Rosa City Home,ChIJc2oxZLrZlzMRv3eoWGl-TQ8
653,Wanning,CN,81.23,light rain,18.8,110.4,Paradise Hotel,ChIJk-yjq9b0UDER56R9wepr3rQ
654,Ukiah,US,75.0,haze,39.15,-123.21,Hampton Inn Ukiah,ChIJbbvmUURkgYAR9cFqzYERk78
661,Bairiki,KI,78.8,few clouds,1.33,172.98,Tarawa Boutique Hotel,ChIJgSUvg5F8ZGURsu1ICOnPHIA
667,Trairi,BR,87.3,broken clouds,-3.28,-39.27,Pousada Field Lilies - Trairi,ChIJ63paNjkGwQcRaM4AsafGgeM
